📡  电信广电,#genre#
求索频道,http://xdnas.teop.cn:8189/udp/239.93.42.24:5140
爱体育,http://xdnas.teop.cn:8189/udp/239.93.42.19:5140
爱赛车,http://xdnas.teop.cn:8189/udp/239.93.42.20:5140
爱宠宠物,http://xdnas.teop.cn:8189/udp/239.93.42.32:5140
生活时尚,http://xdnas.teop.cn:8189/udp/239.93.42.29:5140
环球旅游,http://xdnas.teop.cn:8189/udp/239.93.42.31:5140
来钓鱼吧,http://xdnas.teop.cn:8189/udp/239.93.42.8:5140
麻辣体育,http://xdnas.teop.cn:8189/udp/239.93.42.2:5140
绚影4K,http://xdnas.teop.cn:8189/udp/239.93.42.33:5140
先锋乒羽,http://xdnas.teop.cn:8189/udp/239.93.42.56:5140
天元围棋,http://xdnas.teop.cn:8189/udp/239.93.42.55:5140
快乐垂钓,http://xdnas.teop.cn:8189/udp/239.93.1.151:5140
茶频道,http://xdnas.teop.cn:8189/udp/239.94.1.154:5140
乐龄学堂,http://xdnas.teop.cn:8189/udp/239.94.1.155:5140
亲子趣学4k,http://xdnas.teop.cn:8189/udp/239.93.1.191:5140
4K乐享超清,http://xdnas.teop.cn:8189/udp/239.93.0.43:5140
书画频道,http://xdnas.teop.cn:8189/udp/239.93.42.67:5140
乐游,http://xdnas.teop.cn:8189/udp/239.93.42.94:5140
金色学堂,http://xdnas.teop.cn:8189/udp/239.93.42.95:5140
法治天地,http://xdnas.teop.cn:8189/udp/239.93.42.96:5140
中国天气,http://xdnas.teop.cn:8189/udp/239.93.42.66:5140
四海钓鱼,http://xdnas.teop.cn:8189/udp/239.93.0.55:5140
动漫秀场,http://xdnas.teop.cn:8189/udp/239.93.42.93:514
0精彩影视,http://xdnas.teop.cn:8189/udp/239.93.42.92:5140
CHC家庭影院,http://xdnas.teop.cn:8189/udp/239.93.42.6:5140
CHC影迷电影,http://xdnas.teop.cn:8189/udp/239.93.42.5:5140
CHC动作电影,http://xdnas.teop.cn:8189/udp/239.93.42.7:5140
欢笑剧场4K,http://xdnas.teop.cn:8189/udp/239.93.0.145:5140
北京卫视4K,http://xdnas.teop.cn:8189/udp/239.94.0.111:5140
深圳卫视4K,http://xdnas.teop.cn:8189/udp/239.94.0.113:5140
广东卫视4K,http://xdnas.teop.cn:8189/udp/239.94.0.114:5140
北京卫视4K,http://xdnas.teop.cn:8189/udp/239.94.0.112:5140
凤凰资讯,http://xdnas.teop.cn:8189/udp/239.93.0.118:2191
凤凰资讯,http://xdnas.teop.cn:8189/udp/239.93.1.4:2191
凤凰中文,http://xdnas.teop.cn:8189/udp/239.93.0.162:2192
凤凰中文,http://xdnas.teop.cn:8189/udp/239.93.1.9:2192
星空,http://xdnas.teop.cn:8189/udp/239.93.0.156:2193
星空,http://xdnas.teop.cn:8189/udp/239.93.1.10:2193
CHANNEL-V,http://xdnas.teop.cn:8189/udp/239.93.0.157:2194
CHANNEL-V,http://xdnas.teop.cn:8189/udp/239.93.1.7:2194
