📡  四川频道,#genre#
爱奇谈,http://171.217.166.46:4022/udp/239.93.42.22:5140
爱科幻,http://171.217.166.46:4022/udp/239.93.42.10:5140
爱院线,http://171.217.166.46:4022/udp/239.93.42.11:5140
都市剧场,http://171.217.166.46:4022/udp/239.93.42.30:5140
爱谍战,http://171.217.166.46:4022/udp/239.93.42.14:5140
爱经典,http://171.217.166.46:4022/udp/239.93.42.13:5140
爱悬疑,http://171.217.166.46:4022/udp/239.93.42.12:5140
爱青春,http://171.217.166.46:4022/udp/239.93.42.16:5140
爱都市,http://171.217.166.46:4022/udp/239.93.42.15:5140
少儿天地,http://171.217.166.46:4022/udp/239.93.42.34:5140
爱幼教,http://171.217.166.46:4022/udp/239.93.42.17:5140
爱玩具,http://171.217.166.46:4022/udp/239.93.42.18:5140
爱动漫,http://171.217.166.46:4022/udp/239.93.42.23:5140
求索频道,http://171.217.166.46:4022/udp/239.93.42.24:5140
爱电竞,http://171.217.166.46:4022/udp/239.93.42.19:5140
爱赛车,http://171.217.166.46:4022/udp/239.93.42.20:5140
爱宠宠物,http://171.217.166.46:4022/udp/239.93.42.32:5140
生活时尚,http://171.217.166.46:4022/udp/239.93.42.29:5140
环球旅游,http://171.217.166.46:4022/udp/239.93.42.31:5140
来钓鱼吧,http://171.217.166.46:4022/udp/239.93.42.8:5140
麻辣体育,http://171.217.166.46:4022/udp/239.93.42.2:5140
绚影4K,http://171.217.166.46:4022/udp/239.93.42.33:5140
先锋乒羽,http://171.217.166.46:4022/udp/239.93.42.56:5140
天元围棋,http://171.217.166.46:4022/udp/239.93.42.55:5140
快乐垂钓,http://171.217.166.46:4022/udp/239.93.1.151:5140
茶频道,http://171.217.166.46:4022/udp/239.93.0.114:5140
热血剧场,http://171.217.166.46:4022/udp/239.93.1.198:5140
乐龄学堂,http://171.217.166.46:4022/udp/239.93.1.179:5140
亲子趣学4K,http://171.217.166.46:4022/udp/239.93.1.191:5140
津津悦读4K,http://171.217.166.46:4022/udp/239.93.1.197:5140
动画番剧,http://171.217.166.46:4022/udp/239.93.1.177:5140
中录动漫4K,http://171.217.166.46:4022/udp/239.93.1.188:5140
红色经典,http://171.217.166.46:4022/udp/239.93.1.176:5140
4K超电影,http://171.217.166.46:4022/udp/239.93.1.156:5140
4K乐享超清,http://171.217.166.46:4022/udp/239.93.0.43:5140
📡  北京联通,#genre#
CCTV1,http://124.65.6.233:20000/rtp/239.3.1.129:8008
CCTV2,http://124.65.6.233:20000/rtp/239.3.1.60:8084
